ID,Study_ID,Author,Affiliation ID,Affiliation,City,Country
48,14,Adebayo E.,101599296,Military Hospital,Kaduna,Nigeria
49,14,Ahaji L.,101599296,Military Hospital,Kaduna,Nigeria
50,14,Nnachetta R.,101599296,Military Hospital,Kaduna,Nigeria
51,14,Nwankwo O.,101599296,Military Hospital,Kaduna,Nigeria
52,14,Akabogu-Okpeseyi N.,101599296,Military Hospital,Kaduna,Nigeria
53,14,Yaya M.,101599296,Military Hospital,Kaduna,Nigeria
54,14,Hussain N.,100376946,Military Hospital,Lagos,Nigeria
55,15,Tamí-Maury I.,60027086,The University of Alabama at Birmingham,Birmingham,United States
56,15,Tamí-Maury I.,60015023,University of Texas MD Anderson Cancer Center,Houston,United States
57,15,Coulibaly Y.,60071985,"University of Bamako Faculty of Medicine, Pharmacy and Odonto-Stomatology",Bamako,Mali
58,15,Cissoko S.,113114351,Pharmacie/Centre Hospitalier Universitaire Gabriel Touré,Bamako,Mali
59,15,Dao S.,113114815,Centre Hospitalier Universitaire Point G,Bamako,Mali
60,15,Kristensen S.,113114879,One Heart World-Wide,San Francisco,United States
61,16,Adeyemo W.,60024019,"College of Medicine, University of Lagos",Lagos,Nigeria
62,16,Taiwo O.,60032480,Usmanu Danfodiyo University,Sokoto,Nigeria
63,16,Oderinu O.,60024019,"College of Medicine, University of Lagos",Lagos,Nigeria
64,16,Adeyemi M.,60010382,University of Ilorin,Ilorin,Nigeria
65,16,Ladeinde A.,60024019,"College of Medicine, University of Lagos",Lagos,Nigeria
66,16,Ogunlewe M.,60024019,"College of Medicine, University of Lagos",Lagos,Nigeria
67,17,Adeyemo W.L.,60006448,University of Lagos,Lagos,Nigeria
68,17,Taiwo O.A.,60006448,University of Lagos,Lagos,Nigeria
69,17,Adeyemi M.O.,60006448,University of Lagos,Lagos,Nigeria
70,17,Adewole R.A.,60006448,University of Lagos,Lagos,Nigeria
71,17,Gbotolorun O.M.,60006448,University of Lagos,Lagos,Nigeria
72,18,Osunde O.,60104685,Aminu Kano Teaching Hospital,Kano,Nigeria
73,18,Adebola R.,60104685,Aminu Kano Teaching Hospital,Kano,Nigeria
74,18,Saheeb B.,60017980,University of Benin,Benin,Nigeria
75,19,Gbadebo A.M.,60008386,"Federal University of Agriculture, Abeokuta",Abeokuta,Nigeria
76,20,Wandera M.,60071676,Makerere University,Kampala,Uganda
77,20,Åstrøm A.,60029622,Universitetet i Bergen,Bergen,Norway
78,20,Okullo I.,60029622,Universitetet i Bergen,Bergen,Norway
79,20,Tumwine J.,60071676,Makerere University,Kampala,Uganda
80,21,Bernard E.K.,60048717,University of Nairobi,Nairobi,Kenya
81,21,Akama M.K.,60048717,University of Nairobi,Nairobi,Kenya
82,21,Odhiambo W.A.,60048717,University of Nairobi,Nairobi,Kenya
83,21,Chindia M.L.,60048717,University of Nairobi,Nairobi,Kenya
84,21,Mua B.,60048717,University of Nairobi,Nairobi,Kenya
85,23,Isiekwe G.I.,60006448,University of Lagos,Lagos,Nigeria
86,23,DaCosta O.O.,60199625,Lagos University Teaching Hospital,Lagos,Nigeria
87,23,Isiekwe M.C.,60199625,Lagos University Teaching Hospital,Lagos,Nigeria
88,24,Mwangosi I.,60071590,Muhimbili National Hospital,Dar Es Salaam,Tanzania
89,24,Tillya J.,110545961,Dar es Salaam City Council,N/A,Tanzania
90,25,Adeyemi M.F.,60010382,University of Ilorin,Ilorin,Nigeria
91,25,Adeyemo W.L.,60006448,University of Lagos,Lagos,Nigeria
92,25,Ogunlewe M.O.,60006448,University of Lagos,Lagos,Nigeria
93,25,Ladeinde A.L.,60006448,University of Lagos,Lagos,Nigeria
94,26,Masumo R.,60029622,Universitetet i Bergen,Bergen,Norway
95,26,Bardsen A.,60029622,Universitetet i Bergen,Bergen,Norway
96,26,Mashoto K.,60091726,Muhimbili University of Health and Allied Sciences,Dar Es Salaam,Tanzania
97,26,Astrom A.,60029622,Universitetet i Bergen,Bergen,Norway
98,27,Buwembo W.,60071676,Makerere University,Kampala,Uganda
99,27,Kutesa A.,60071676,Makerere University,Kampala,Uganda
100,27,Muwazi L.,60071676,Makerere University,Kampala,Uganda
101,27,Rwenyonyi C.M.,60071676,Makerere University,Kampala,Uganda
102,28,Kalema N.,60071676,Makerere University,Kampala,Uganda
103,28,de n Boon S.,60071676,Makerere University,Kampala,Uganda
104,28,Cattamanchi A.,60071676,Makerere University,Kampala,Uganda
105,28,Davis J.,60023691,"University of California, San Francisco",San Francisco,United States
106,28,Andama A.,60071676,Makerere University,Kampala,Uganda
107,28,Katagira W.,60023691,"University of California, San Francisco",San Francisco,United States
108,28,Everett C.,60071676,Makerere University,Kampala,Uganda
109,28,Walter N.,60071676,Makerere University,Kampala,Uganda
110,28,Byanyima P.,60071676,Makerere University,Kampala,Uganda
111,28,Kaswabuli S.,60071676,Makerere University,Kampala,Uganda
112,28,Worodria W.,60023691,"University of California, San Francisco",San Francisco,United States
113,28,Huang L.,60071676,Makerere University,Kampala,Uganda
114,29,Steyn N.P.,60015399,Human Sciences Research Council of South Africa,Pretoria,South Africa
115,29,Temple N.J.,60018510,Athabasca University,Athabasca,Canada
116,30,Agbor M.,60017980,University of Benin,Benin,Nigeria
117,30,Azodo C.,60017980,University of Benin,Benin,Nigeria
118,31,Masiga M.A.,60070578,University of Nairobi School of Dental Sciences,Nairobi,Kenya
119,31,Machoki J.M.,60048717,University of Nairobi,Nairobi,Kenya
120,32,Ajayi D.,60018680,"University College Hospital, Ibadan",Ibadan,Nigeria
121,32,Abiodun-Solanke I.,60018680,"University College Hospital, Ibadan",Ibadan,Nigeria
122,32,Sulaiman A.,60018680,"University College Hospital, Ibadan",Ibadan,Nigeria
123,32,Ekhalufoh E.,60018680,"University College Hospital, Ibadan",Ibadan,Nigeria
124,33,Ehizele A.,60017980,University of Benin,Benin,Nigeria
125,33,Azodo C.,60017980,University of Benin,Benin,Nigeria
126,33,Ojehanon P.,60017980,University of Benin,Benin,Nigeria
127,33,Akhionbare O.,60017980,University of Benin,Benin,Nigeria
128,33,Umoh A.,60017980,University of Benin,Benin,Nigeria
129,33,Adeghe H.,60017980,University of Benin,Benin,Nigeria
130,34,Obimakinde O.,110016946,University Teaching Hospital,Ado-Ekiti,Nigeria
131,34,Okoje V.,60018680,"University College Hospital, Ibadan",Ibadan,Nigeria
132,34,Akinmoladun V.,60018680,"University College Hospital, Ibadan",Ibadan,Nigeria
133,34,Fasola A.,110016946,University Teaching Hospital,Ado-Ekiti,Nigeria
134,34,Arotiba J.,60018680,"University College Hospital, Ibadan",Ibadan,Nigeria
135,35,Bukar M.,60013763,University of Maiduguri,Maiduguri,Nigeria
136,35,Audu B.,60013763,University of Maiduguri,Maiduguri,Nigeria
137,35,Adesina O.,60013763,University of Maiduguri,Maiduguri,Nigeria
138,35,Marupa J.,113076920,Medical Centre Yola,N/A,Nigeria
139,36,Maharaj B.,60010499,University of KwaZulu-Natal,Durban,South Africa
140,36,Vayej A.C.,112977118,Programme: Oral Health,Durban,South Africa
141,37,Rakotoarison R.A.,60120571,Université de Mahajanga,Majunga,Madagascar
142,37,Rakotoarivony A.E.,60120571,Université de Mahajanga,Majunga,Madagascar
143,37,Rabesandratana N.,60120571,Université de Mahajanga,Majunga,Madagascar
144,37,Razafindrabe J.B.,60072617,Université d'Antananarivo,Antananarivo,Madagascar
145,37,Andriambololona R.,60072617,Université d'Antananarivo,Antananarivo,Madagascar
146,37,Andriambololo-Nivo R.,60120571,Université de Mahajanga,Majunga,Madagascar
147,37,Feki A.,60103368,Université de Strasbourg,Strasbourg,France
148,38,Kebede B.,60071196,Jimma University,Jimma,Ethiopia
149,38,Kemal T.,60071196,Jimma University,Jimma,Ethiopia
150,38,Abera S.,60071196,Jimma University,Jimma,Ethiopia
151,39,Diouf M.,112996301,"Faculty of Medicine, Pharmacy and Dentistry",Dakar,Senegal
152,39,Cisse D.,112996301,"Faculty of Medicine, Pharmacy and Dentistry",Dakar,Senegal
153,39,Faye A.,112996301,"Faculty of Medicine, Pharmacy and Dentistry",Dakar,Senegal
154,39,Niang P.,112996301,"Faculty of Medicine, Pharmacy and Dentistry",Dakar,Senegal
155,39,Seck I.,112996301,"Faculty of Medicine, Pharmacy and Dentistry",Dakar,Senegal
156,39,Faye D.,112996301,"Faculty of Medicine, Pharmacy and Dentistry",Dakar,Senegal
157,39,Lo C.M.M.,112996301,"Faculty of Medicine, Pharmacy and Dentistry",Dakar,Senegal
158,40,Okeigbemen S.A.,60017980,University of Benin,Benin,Nigeria
159,40,Jeboda S.O.,60006448,University of Lagos,Lagos,Nigeria
160,40,Umweni A.A.,60017980,University of Benin,Benin,Nigeria
161,41,Aikins E.A.,60029544,University of Port Harcourt,Port Harcourt,Nigeria
162,41,Dacosta O.O.,60024019,"College of Medicine, University of Lagos",Lagos,Nigeria
163,41,Onyeaso C.O.,60029544,University of Port Harcourt,Port Harcourt,Nigeria
164,41,Isiekwe M.C.,60024019,"College of Medicine, University of Lagos",Lagos,Nigeria
165,42,Diouf M.,60107165,"Unité Mixte Internationale Environnement, Santé, Sociétés",Dakar,Senegal
166,42,Boetsch G.,60107165,"Unité Mixte Internationale Environnement, Santé, Sociétés",Dakar,Senegal
167,42,Cissé D.,60071540,Universite Cheikh Anta Diop,Dakar,Senegal
168,42,Tal-Dia A.,60071540,Universite Cheikh Anta Diop,Dakar,Senegal
169,42,Bonfil J.J.,60102127,Aix Marseille Université,Marseille,France
170,43,Okoje V.N.,60006270,University of Ibadan,Ibadan,Nigeria
171,43,Dosumu O.O.,60006270,University of Ibadan,Ibadan,Nigeria
172,43,Alonge T.O.,60006270,University of Ibadan,Ibadan,Nigeria
173,43,Onyeaso C.,60006270,University of Ibadan,Ibadan,Nigeria
174,44,Diouf M.,60071540,Universite Cheikh Anta Diop,Dakar,Senegal
175,44,Cisse D.,60071540,Universite Cheikh Anta Diop,Dakar,Senegal
176,44,Lo C.M.M.,60071540,Universite Cheikh Anta Diop,Dakar,Senegal
177,44,Ly M.,60071540,Universite Cheikh Anta Diop,Dakar,Senegal
178,44,Faye D.,60071540,Universite Cheikh Anta Diop,Dakar,Senegal
179,44,Ndiaye O.,60071540,Universite Cheikh Anta Diop,Dakar,Senegal
180,45,Ogunmuyiwa S.A.,60031743,Federal Medical Centre Nigeria,N/A,Nigeria
181,45,Fatusi O.A.,60110453,Obafemi Awolowo University Teaching Hospitals Complex,Ife,Nigeria
182,45,Ugboko V.I.,60011031,Obafemi Awolowo University,Ife,Nigeria
183,45,Ayoola O.O.,60110453,Obafemi Awolowo University Teaching Hospitals Complex,Ife,Nigeria
184,45,Maaji S.M.,60110453,Obafemi Awolowo University Teaching Hospitals Complex,Ife,Nigeria
185,46,Ibiyemi O.,60006270,University of Ibadan,Ibadan,Nigeria
186,46,Ibiyemi T.,60018680,"University College Hospital, Ibadan",Ibadan,Nigeria
187,47,MacNab A.,60010365,The University of British Columbia,Vancouver,Canada
188,47,Kasangaki A.,60001565,Stellenbosch University,Stellenbosch,South Africa
189,48,Muasya M.K.,60048717,University of Nairobi,Nairobi,Kenya
190,48,Ng’Ang’A P.M.,60048717,University of Nairobi,Nairobi,Kenya
191,48,Opinya G.N.,60048717,University of Nairobi,Nairobi,Kenya
192,48,Macigo F.G.,60048717,University of Nairobi,Nairobi,Kenya
193,49,Fadeyibi I.,60026284,Lagos State University Teaching Hospital,Lagos,Nigeria
194,49,Coker O.,60026284,Lagos State University Teaching Hospital,Lagos,Nigeria
195,49,Zacchariah M.,60026284,Lagos State University Teaching Hospital,Lagos,Nigeria
196,49,Fasawe A.,112844372,Ministry of Health,Lagos,Nigeria
197,49,Ademiluyi S.,60026284,Lagos State University Teaching Hospital,Lagos,Nigeria
198,50,Butt F.,60048717,University of Nairobi,Nairobi,Kenya
199,50,Guthua S.,60048717,University of Nairobi,Nairobi,Kenya
200,50,Awange D.,60048717,University of Nairobi,Nairobi,Kenya
201,50,Dimba E.,60048717,University of Nairobi,Nairobi,Kenya
202,50,MacIgo F.,60048717,University of Nairobi,Nairobi,Kenya
203,51,Pavlinac P.B.,60015481,University of Washington,Seattle,United States
204,51,Hawes S.E.,60015481,University of Washington,Seattle,United States
205,51,Gottlieb G.S.,60028548,University of Washington School of Medicine,Seattle,United States
206,51,Gaye A.,60071540,Universite Cheikh Anta Diop,Dakar,Senegal
207,51,N'Diaye C.F.,60071540,Universite Cheikh Anta Diop,Dakar,Senegal
208,51,Critchlow C.W.,60001673,Amgen Incorporated,Thousand Oaks,United States
209,51,Sow P.S.,60071540,Universite Cheikh Anta Diop,Dakar,Senegal
210,51,Feng Q.,60028548,University of Washington School of Medicine,Seattle,United States
211,51,Kiviat N.B.,60028548,University of Washington School of Medicine,Seattle,United States
212,52,Denloye O.,60006270,University of Ibadan,Ibadan,Nigeria
213,52,Ajayi D.,60006270,University of Ibadan,Ibadan,Nigeria
214,52,Lagunju I.,60006270,University of Ibadan,Ibadan,Nigeria
215,53,de Tove M.,117717190,Département d’Odonto-Stomatologie pédiatrique,Abidjan,Cote d'Ivoire
216,53,Bakayoko-Ly R.,117717190,Département d’Odonto-Stomatologie pédiatrique,Abidjan,Cote d'Ivoire
217,53,N’guessan K.,117717190,Département d’Odonto-Stomatologie pédiatrique,Abidjan,Cote d'Ivoire
218,53,Kolomdou K.,117717190,Département d’Odonto-Stomatologie pédiatrique,Abidjan,Cote d'Ivoire
219,53,N’cho-Oka Affiba E.,117717190,Département d’Odonto-Stomatologie pédiatrique,Abidjan,Cote d'Ivoire
220,54,Mwangosi I.,112905269,MUHIMBILI UNIVERSITY/ ALLIED HLTH SCIS,Dar Es Salaam,Tanzania
221,54,Kiango M.,112905524,Bariadi District Council,N/A,Tanzania
222,55,Olatosi O.O.,60024019,"College of Medicine, University of Lagos",Lagos,Nigeria
223,55,Sote E.O.,60024019,"College of Medicine, University of Lagos",Lagos,Nigeria
224,56,Taiwo O.A.,60199625,Lagos University Teaching Hospital,Lagos,Nigeria
225,56,Alabi O.A.,60199625,Lagos University Teaching Hospital,Lagos,Nigeria
226,56,Yusuf O.M.,60199625,Lagos University Teaching Hospital,Lagos,Nigeria
227,56,Ololo O.,60199625,Lagos University Teaching Hospital,Lagos,Nigeria
228,56,Olawole W.O.,60199625,Lagos University Teaching Hospital,Lagos,Nigeria
229,56,Adeyemo W.I.,60199625,Lagos University Teaching Hospital,Lagos,Nigeria
230,57,Thekiso M.,60008920,Taibah University,Madinah,Saudi Arabia
231,58,Alshami M.L.,60109590,Dijlah University College,Baghdad,Iraq
232,58,Al-Maliky M.A.,60271749,Al-Hadi University College,Baghdad,Iraq
233,58,Alsagban A.A.,60109590,Dijlah University College,Baghdad,Iraq
234,58,Alshaeli A.J.,60071147,University of Baghdad,Baghdad,Iraq
235,59,Nqcobo C.B.,60079992,University of the Witwatersrand Faculty of Health Sciences,Johannesburg,South Africa
236,60,Adeniyi A.,60026284,Lagos State University Teaching Hospital,Lagos,Nigeria
237,60,Agbaje O.,60026284,Lagos State University Teaching Hospital,Lagos,Nigeria
238,60,Onigbinde O.,60026284,Lagos State University Teaching Hospital,Lagos,Nigeria
239,60,Ashiwaju O.,100785306,Massey Street Children's Hospital,Lagos,Nigeria
240,60,Ogunbanjo O.,60026284,Lagos State University Teaching Hospital,Lagos,Nigeria
241,60,Orebanjo O.,117440801,Ajeromi Ifelodun General Hospital,Lagos,Nigeria
242,60,Adegbonmire O.,115094045,Federal Medical Centre Ebute-Metta,Lagos,Nigeria
243,60,Adegbite K.,60026284,Lagos State University Teaching Hospital,Lagos,Nigeria
244,61,Lasisi T.J.,60006270,University of Ibadan,Ibadan,Nigeria
245,62,Charles E.,60021765,University of Calabar,Calabar,Nigeria
246,63,Folayan M.O.,60011031,Obafemi Awolowo University,Ife,Nigeria
247,63,Sofola O.O.,60006448,University of Lagos,Lagos,Nigeria
248,63,Oginni A.B.,108384064,Population Council,Abuja,Nigeria
249,64,Akaji E.,60025390,University of Nigeria,Naukka,Nigeria
250,65,Peerbhay F.,60031569,University of the Western Cape,Bellville,South Africa
251,66,Khan S.B.,60031569,University of the Western Cape,Bellville,South Africa
252,67,Masumo R.,60029622,Universitetet i Bergen,Bergen,Norway
253,67,Bardsen A.,60029622,Universitetet i Bergen,Bergen,Norway
254,67,Mashoto K.,60091726,Muhimbili University of Health and Allied Sciences,Dar Es Salaam,Tanzania
255,67,Åstrøm A.,60029622,Universitetet i Bergen,Bergen,Norway
256,68,Watson G.,60000811,Eastman Institute for Oral Health,Rochester,United States
257,68,Evans K.,60027165,University of Rochester,Rochester,United States
258,68,Thurston S.,60027165,University of Rochester,Rochester,United States
259,68,van Wijngaarden E.,60027165,University of Rochester,Rochester,United States
260,68,Wallace J.,60027165,University of Rochester,Rochester,United States
261,68,McSorley E.,60020730,Ulster University,Coleraine,United Kingdom
262,68,Bonham M.,60020730,Ulster University,Coleraine,United Kingdom
263,68,Mulhern M.,60020730,Ulster University,Coleraine,United Kingdom
264,68,McAfee A.,60020730,Ulster University,Coleraine,United Kingdom
265,68,Davidson P.,60020730,Ulster University,Coleraine,United Kingdom
266,68,Shamlaye C.,60027165,University of Rochester,Rochester,United States
267,68,Strain J.,60027165,University of Rochester,Rochester,United States
268,68,Love T.,112453574,Republic of Seychelles Ministry of Health and Social Services,N/A,Seychelles
269,68,Zareba G.,60020730,Ulster University,Coleraine,United Kingdom
270,68,Myers G.,60027165,University of Rochester,Rochester,United States
271,69,Fadeyibi I.,60025593,Lagos State University,Lagos,Nigeria
272,69,Adeniyi A.,60026284,Lagos State University Teaching Hospital,Lagos,Nigeria
273,69,Jewo P.,60025593,Lagos State University,Lagos,Nigeria
274,69,Saalu L.,60025593,Lagos State University,Lagos,Nigeria
275,69,Fasawe A.,109648739,Ministry of Health,Lagos,Nigeria
276,69,Ademiluyi S.,60025593,Lagos State University,Lagos,Nigeria
277,70,Buyu Y.,60071571,Bugando Medical Centre,Mwanza,Tanzania
278,70,Manyama M.,60071570,Catholic University of Health and Allied Sciences,Mwanza,Tanzania
279,70,Chandika A.,60071571,Bugando Medical Centre,Mwanza,Tanzania
280,70,Gilyoma J.,60071571,Bugando Medical Centre,Mwanza,Tanzania
281,71,Ibiyemi O.,60006270,University of Ibadan,Ibadan,Nigeria
282,71,Oke G.,60006270,University of Ibadan,Ibadan,Nigeria
283,71,Jeboda S.,60006448,University of Lagos,Lagos,Nigeria
284,72,Olutola B.G.,60021902,University of Pretoria,Pretoria,South Africa
285,72,Ayo-Yusuf O.A.,60021902,University of Pretoria,Pretoria,South Africa
286,73,Eboh D.,60010277,Delta State University Nigeria,Abraka,Nigeria
287,74,Bamise C.,60011031,Obafemi Awolowo University,Ife,Nigeria
288,74,Oginni A.,60011031,Obafemi Awolowo University,Ife,Nigeria
289,74,Adedigba M.,60011031,Obafemi Awolowo University,Ife,Nigeria
290,74,Olagundoye O.,60011031,Obafemi Awolowo University,Ife,Nigeria
291,75,Åstrøm A.N.,60029622,Universitetet i Bergen,Bergen,Norway
292,75,Mashoto K.O.,60029622,Universitetet i Bergen,Bergen,Norway
293,76,Obuna J.,60019378,Ebonyi State University Teaching Hospital,Abakaliki,Nigeria
294,76,Ugboma H.,60029544,University of Port Harcourt,Port Harcourt,Nigeria
295,76,Igbinedion H.,60019378,Ebonyi State University Teaching Hospital,Abakaliki,Nigeria
296,76,Ejikeme B.,60019378,Ebonyi State University Teaching Hospital,Abakaliki,Nigeria
297,76,Agwu U.,60019378,Ebonyi State University Teaching Hospital,Abakaliki,Nigeria
298,76,Ugboma E.,60029544,University of Port Harcourt,Port Harcourt,Nigeria
299,77,Rango T.,60008724,Duke University,Durham,United States
300,77,Kravchenko J.,60018749,Duke Cancer Institute,Durham,United States
301,77,Atlaw B.,60071196,Jimma University,Jimma,Ethiopia
302,77,McCornick P.G.,60071109,International Water Management Institute (IWMI) Colombo,Colombo,Sri Lanka
303,77,Jeuland M.,60008724,Duke University,Durham,United States
304,77,Merola B.,60008724,Duke University,Durham,United States
305,77,Vengosh A.,60008724,Duke University,Durham,United States
306,78,Sales-Peres S.,60008088,Universidade de São Paulo,Sao Paulo,Brazil
307,78,Mapengo M.,60008088,Universidade de São Paulo,Sao Paulo,Brazil
308,78,de Moura-Grec P.,60008088,Universidade de São Paulo,Sao Paulo,Brazil
309,78,Marsicano J.,60008088,Universidade de São Paulo,Sao Paulo,Brazil
310,78,Sales-Peres A.,60008088,Universidade de São Paulo,Sao Paulo,Brazil
311,78,Sales-Peres A.,60008088,Universidade de São Paulo,Sao Paulo,Brazil
312,79,Adeyemo W.L.,60006448,University of Lagos,Lagos,Nigeria
313,79,Rabiu K.A.,60025593,Lagos State University,Lagos,Nigeria
314,79,Okoturo T.M.,60025593,Lagos State University,Lagos,Nigeria
315,79,Adebanjo A.A.,60025593,Lagos State University,Lagos,Nigeria
316,79,Adewunmi A.A.,60025593,Lagos State University,Lagos,Nigeria
317,79,Adeyemi M.O.,60199625,Lagos University Teaching Hospital,Lagos,Nigeria
318,80,Okumu S.,60048717,University of Nairobi,Nairobi,Kenya
319,80,Chindia M.,60048717,University of Nairobi,Nairobi,Kenya
320,80,Gathece L.,60048717,University of Nairobi,Nairobi,Kenya
321,80,Dimba E.,60048717,University of Nairobi,Nairobi,Kenya
322,80,Odhiambo W.,60048717,University of Nairobi,Nairobi,Kenya
323,81,Yamori M.,60011001,Kyoto University,Kyoto,Japan
324,81,Njelekela M.,60091726,Muhimbili University of Health and Allied Sciences,Dar Es Salaam,Tanzania
325,81,Mtabaji J.,60071570,Catholic University of Health and Allied Sciences,Mwanza,Tanzania
326,81,Yamori Y.,60027755,Mukogawa Women's University,Nishinomiya,Japan
327,81,Bessho K.,60011001,Kyoto University,Kyoto,Japan
328,82,Wood N.,60017614,University of Limpopo,Sovenga,South Africa
329,82,Blignaut E.,60025709,The University of Sydney,Sydney,Australia
330,82,Lemmer J.,60017614,University of Limpopo,Sovenga,South Africa
331,82,Meyerov R.,60017614,University of Limpopo,Sovenga,South Africa
332,82,Feller L.,60017614,University of Limpopo,Sovenga,South Africa
333,83,Gathece L.,60048717,University of Nairobi,Nairobi,Kenya
334,83,Wang'Ombe J.,60048717,University of Nairobi,Nairobi,Kenya
335,83,Ng'Ang'A P.,60048717,University of Nairobi,Nairobi,Kenya
336,83,Wanzala P.,60070343,Kenya Medical Research Institute,Nairobi,Kenya
337,84,Effiom O.A.,60006448,University of Lagos,Lagos,Nigeria
338,84,Adewole R.A.,60006448,University of Lagos,Lagos,Nigeria
339,84,Odukoya O.,60006448,University of Lagos,Lagos,Nigeria
340,85,Adewole R.A.,60006448,University of Lagos,Lagos,Nigeria
341,85,Ojini F.I.,60006448,University of Lagos,Lagos,Nigeria
342,85,Akinwande J.A.,60006448,University of Lagos,Lagos,Nigeria
343,85,Danesi M.A.,60006448,University of Lagos,Lagos,Nigeria
344,86,Carneiro L.,60091726,Muhimbili University of Health and Allied Sciences,Dar Es Salaam,Tanzania
345,86,Kabulwa M.,60091726,Muhimbili University of Health and Allied Sciences,Dar Es Salaam,Tanzania
346,86,Makyao M.,60091726,Muhimbili University of Health and Allied Sciences,Dar Es Salaam,Tanzania
347,86,Mrosso G.,60091726,Muhimbili University of Health and Allied Sciences,Dar Es Salaam,Tanzania
348,86,Choum R.,60091726,Muhimbili University of Health and Allied Sciences,Dar Es Salaam,Tanzania
349,87,Aikins E.,109178352,University of Port,Port Harcourt,Nigeria
350,87,Dacosta O.,60006448,University of Lagos,Lagos,Nigeria
351,87,Onyeaso C.,60029544,University of Port Harcourt,Port Harcourt,Nigeria
352,87,Isiekwe M.,60006448,University of Lagos,Lagos,Nigeria
353,88,Varenne B.,60072108,Institut de recherche pour le developpement Ouagadougou,Ouagadougou,Burkina Faso
354,88,Fournet F.,60027142,Organisation Mondiale de la Santé,Geneva,Switzerland
355,88,Cadot E.,60072108,Institut de recherche pour le developpement Ouagadougou,Ouagadougou,Burkina Faso
356,88,Msellati P.,60025735,IRD Centre de Montpellier,Montpellier,France
357,88,Ouedraogo H.Z.,60000905,Inserm,Paris,France
358,88,Meyer P.E.,60025735,IRD Centre de Montpellier,Montpellier,France
