ID,TI,DO,UR,PY
27,"Prediction of width of un-erupted incisors, canines and premolars in a Ugandan population: A cross sectional study",10.1186/1472-6831-12-23,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865626227&doi=10.1186%2f1472-6831-12-23&partnerID=40&md5=85931eed40b2fe5f144b32268c324ed3,2012
28,Oral antimicrobial rinse to reduce mycobacterial culture contamination among tuberculosis suspects in uganda: A prospective study,10.1371/journal.pone.0038888,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84863729071&doi=10.1371%2fjournal.pone.0038888&partnerID=40&md5=c2425f7f9aeb8f37a9d262e2859e6bb1,2012
29,Evidence to support a food-based dietary guideline on sugar consumption in South Africa,10.1186/1471-2458-12-502,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84863223755&doi=10.1186%2f1471-2458-12-502&partnerID=40&md5=5116c57d6018605a29c8509b917f9df0,2012
30,The impact of dental auxiliaries in oral health delivery in Cameroon,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079209097&partnerID=40&md5=14ae4af77ceadb78e69a78d9e13f25af,2012
31,"Correlation of oral health home-care practices, snacking habits and dental caries experience among HIV-positive children in Nairobi, Kenya",,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84965094597&partnerID=40&md5=60e5061bc30113e1f399c2d607e40504,2012
32,A retrospective study of traumatic injuries to teeth at a Nigerian tertiary hospital,10.4103/1119-3077.100631,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84866423440&doi=10.4103%2f1119-3077.100631&partnerID=40&md5=3fc7a1b45fc5c7d426b0fd4779a6401d,2012
33,Prevalence of tobacco use among dental patients and their knowledge of its health effects,10.4103/1119-3077.100619,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84866393282&doi=10.4103%2f1119-3077.100619&partnerID=40&md5=1a803e9178b9bb89710c4d5827883e89,2012
34,"Retrospective evaluation of necrotizing fasciitis in University College Hospital, Ibadan",10.4103/1119-3077.100644,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84866390705&doi=10.4103%2f1119-3077.100644&partnerID=40&md5=30f8e5df4ccfc895f52aa8c0efdee8e6,2012
35,Oral health practices among pregnant women in North Eastern Nigeria,10.4103/1119-3077.100625,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84866373214&doi=10.4103%2f1119-3077.100625&partnerID=40&md5=761d57c46bbfcb201318fd4bb649ddcb,2012
36,Oral health of patients with severe rheumatic heart disease,10.5830/CVJA-2012-009,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864403143&doi=10.5830%2fCVJA-2012-009&partnerID=40&md5=aaf1a19a1285e7f2c19d3a053822bb47,2012
37,Cleft lip and palate in Madagascar 1998-2007,10.1016/j.bjoms.2011.06.004,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84862225175&doi=10.1016%2fj.bjoms.2011.06.004&partnerID=40&md5=48a2e903e576e95ee9bcd40b8c93c4f1,2012
38,Oral health status of patients with mental disorders in Southwest Ethiopia,10.1371/journal.pone.0039142,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84862492670&doi=10.1371%2fjournal.pone.0039142&partnerID=40&md5=6560dfc304558e33326fab9511a21d7c,2012
39,Prevalence of necrotizing ulcerative gingivitis and associated factors in Koranic boarding schools in Senegal,10.1922/CDH_2801Diouf04,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864875894&doi=10.1922%2fCDH_2801Diouf04&partnerID=40&md5=a4e387a66a381a912ff56089c9677a54,2012
40,"A preliminary assessment of the periodontal status of elderly pensioners in Benin City, Nigeria",10.1111/j.1741-2358.2011.00466.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84861615035&doi=10.1111%2fj.1741-2358.2011.00466.x&partnerID=40&md5=000254da1b9da1b2bbc4247abcd12869,2012
41,Self-perception of malocclusion among Nigerian adolescents using the aesthetic component of the IOTN,10.2174/1874210601206010061,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84860683963&doi=10.2174%2f1874210601206010061&partnerID=40&md5=a7d854aeca2033ee5ce93100cb72aba1,2012
42,Lifestyles and oral health in Fulani populations of Ferlo in Senegal,10.1684/mst.2012.0053,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84869014778&doi=10.1684%2fmst.2012.0053&partnerID=40&md5=51e28688d28ca9e81fcc7b8031bbf160,2012
43,Tooth loss: Are the patients prepared?,10.4103/1119-3077.97305,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84863188403&doi=10.4103%2f1119-3077.97305&partnerID=40&md5=766fb120fdd3cda00b7024c88b06105e,2012
44,Pregnant women living in areas of endemic fluorosis in Senegal and low birthweight newborns: Case-control study,10.1016/j.respe.2011.09.009,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84859107609&doi=10.1016%2fj.respe.2011.09.009&partnerID=40&md5=a320d08a1e4d21be42f278823b8bafd9,2012
45,The validity of ultrasonography in the diagnosis of zygomaticomaxillary complex fractures,10.1016/j.ijom.2012.01.002,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84858442151&doi=10.1016%2fj.ijom.2012.01.002&partnerID=40&md5=e6a3f91597a417deaddbe3bc51ab040f,2012
46,"Quality and contents of referral letters from peripheral health centers to the dental centre of a teaching hospital, southwestern Nigeria",10.3109/00016357.2011.600712,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84857266472&doi=10.3109%2f00016357.2011.600712&partnerID=40&md5=71e466d604190a177db4abde15c0ce3a,2012
47,"'Many voices, one song': A model for an oral health programme as a first step in establishing a health promoting school",10.1093/heapro/dar039,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84856856002&doi=10.1093%2fheapro%2fdar039&partnerID=40&md5=9cfdc3d7ceb5c916377a177c6ac3a7c9,2012
48,Malocclusion and orthodontic treatment need among 12-15-year-old children in nairobi,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84965093307&partnerID=40&md5=45c2f16c0dc03a889b6c2291b5c9d0e8,2012
49,Psychosocial effects of cleft lip and palate on Nigerians: The Ikeja-Lagos experience,10.3109/2000656X.2011.643027,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84859126052&doi=10.3109%2f2000656X.2011.643027&partnerID=40&md5=93dc2e07af369272fc37d52ea249271a,2012
50,"The pattern and occurrence of ameloblastoma in adolescents treated at a university teaching hospital, in Kenya: A 13-year study",10.1016/j.jcms.2011.03.011,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84856078444&doi=10.1016%2fj.jcms.2011.03.011&partnerID=40&md5=e34bce19657847de7d2e7fc769b73b58,2012
51,"HIV shedding in the oral cavity: An assessment of HIV type, immunovirologic,demographic and oral factors",10.1136/sextrans-2011-050231,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84855882571&doi=10.1136%2fsextrans-2011-050231&partnerID=40&md5=9742f9b87094f9c0d6aab540310c430a,2012
52,Oral health status of children seen at a paediatric neurology clinic in a tertiary hospital in Nigeria,10.11411/pdj.22.16,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85009635235&doi=10.11411%2fpdj.22.16&partnerID=40&md5=bbf6b9a8613ce79c3e30ba104945b34b,2012
53,Correlation between anxiety and the dental pain in children: Investigations at the Center for consultation and stomatology treatment of Abidjan (Ivory Cost),10.1051/mbcb/2012040,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84996137636&doi=10.1051%2fmbcb%2f2012040&partnerID=40&md5=861dcfcd9f4591491c22a0a816e88243,2012
54,"Oral health experience during pregnancy and dental service utilization in Bariadi District, Tanzania",10.4314/thrb.v14i2.8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84930485328&doi=10.4314%2fthrb.v14i2.8&partnerID=40&md5=289ff2e130b3cb2817be0bc182527d95,2012
55,Causes and pattern of tooth loss in children and adolescents in a Nigerian tertiary hospital.,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84897933644&partnerID=40&md5=fd030ba17af27bdc4510dc716aedef59,2012
56,Reasons and pattern of tooth extraction among patients presenting at a Nigerian semi-rural specialist hospital.,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84897572331&partnerID=40&md5=c8ed9a863a73786735424aa3d600cf2e,2012
57,"Caries status among children in the West Rand District of Gauteng Province, South Africa.",,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84884300923&partnerID=40&md5=f98585f602ad849166c8e46d8d88169d,2012
58,Epidemiology of oral squamous cell carcinoma.,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84884299661&partnerID=40&md5=422c7ef3b99aa929d1c643d341918725,2012
59,"Dental caries prevalence in children attending special needs schools in Johannesburg, Gauteng Province, South Africa.",,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84884293900&partnerID=40&md5=4d8fc1bb9f5342cd901ba30ed4ee0503,2012
60,Prevalence and pattern of dental caries among a sample of nigerian public primary school children,10.3290/j.ohpd.a28523,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84883052528&doi=10.3290%2fj.ohpd.a28523&partnerID=40&md5=5b8a3acc9596b63d69079148d3d1c1ba,2012
61,Oro-facial squamous cell carcinoma--a twenty-year retrospective clinicopathological study.,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875160397&partnerID=40&md5=42f78bfe8cb1758ce4578b54d19a6dbb,2012
62,The clinical presentation and management of zygomatic complex fractures in a Nigeria Teaching Hospital.,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874407017&partnerID=40&md5=392e642f5c0cd0c5405f0d26306dd103,2012
63,"Caries incidence in a cohort of primary school students in Lagos state, Nigeria followed up over a 3 years period",10.1007/BF03320833,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874171090&doi=10.1007%2fBF03320833&partnerID=40&md5=7fce974ada5b71f540b93eccf6be38a3,2012
64,"Attendance pattern amongst patients at the Dental Clinic of the University of Nigeria Teaching Hospital, Enugu, Nigeria.",,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84873565004&partnerID=40&md5=e0e8db346fa457a003b0a852213fe5a2,2012
65,The burden of early childhood caries in the Western Cape Public Service in relation to dental general anaesthesia: implications for prevention.,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84872009460&partnerID=40&md5=8acb21131d6a05c1736289045dba4b30,2012
66,"Perceptions regarding the shortened dental arch among dental practitioners in the Western Cape Province, South Africa.",,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871911709&partnerID=40&md5=e388ac7ba8d0008ebc04ae746a1acc1c,2012
67,Child- and family impacts of infants' oral conditions in Tanzania and Uganda- a cross sectional study,10.1186/1756-0500-5-538,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871791555&doi=10.1186%2f1756-0500-5-538&partnerID=40&md5=7ec36a614636b796f75fb3a7d0455c26,2012
68,Prenatal exposure to dental amalgam in the Seychelles Child Development Nutrition Study: Associations with neurodevelopmental outcomes at 9 and 30 months,10.1016/j.neuro.2012.10.001,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871718471&doi=10.1016%2fj.neuro.2012.10.001&partnerID=40&md5=561394f2b7ded4ec0a8a84c3169d335b,2012
69,"Current pattern of cleft lip and palate deformities in Lagos, Nigeria",10.1597/10-236,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84869814620&doi=10.1597%2f10-236&partnerID=40&md5=d80458bfb787ef4fce6689c51b5662bc,2012
70,Orofacial clefts at Bugando Medical Centre: Associated factors and postsurgical complications,10.1597/10-202,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84869742330&doi=10.1597%2f10-202&partnerID=40&md5=557529224aeed001c561fefc0b1ab77f,2012
71,Two years survival rate of occlusal ART restorations placed without tooth surface conditioning in a primary oral health care centre,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84869021500&partnerID=40&md5=f559fd32b4dadcfe3981d3dfb0f73ca7,2012
72,Socio-environmental factors associated with self-rated oral health in South Africa: A multilevel effects model,10.3390/ijerph9103465,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84868107912&doi=10.3390%2fijerph9103465&partnerID=40&md5=01e6fe7a9fc9f42f8c4a7c2ef64046e3,2012
73,"Palatal rugae patterns of urhobos in Abraka, South-Southern Nigeria",10.4067/S0717-95022012000200059,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84867496772&doi=10.4067%2fS0717-95022012000200059&partnerID=40&md5=4bb5e4ccb1f53fcf345a99e7bb02da67,2012
74,Perception of patients with amalgam fillings about toxicity of mercury in dental amalgam,10.5005/jp-journals-10024-1139,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865282830&doi=10.5005%2fjp-journals-10024-1139&partnerID=40&md5=fdff1e14ba9e38aba3e6f58467e6022b,2012
75,"Changes in oral health related knowledge, attitudes and behaviours following school based oral health education and atraumatic restorative treatment in rural Tanzania",10.5324/nje.v22i1.1516,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84862872324&doi=10.5324%2fnje.v22i1.1516&partnerID=40&md5=856925ceaf6164f82aeb4451366b9cad,2012
76,Awareness of pregnancy-related oral diseases in women attending antenatal clinics in a university teaching hospital in Nigeria,10.3923/ijtmed.2012.61.63,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84862746865&doi=10.3923%2fijtmed.2012.61.63&partnerID=40&md5=172fb8ae390f183b4b3726c658643bed,2012
77,Groundwater quality and its health impact: An assessment of dental fluorosis in rural inhabitants of the Main Ethiopian Rift,10.1016/j.envint.2012.03.002,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84860123192&doi=10.1016%2fj.envint.2012.03.002&partnerID=40&md5=fc023de90248f94263401c93ef260250,2012
78,Oral manifestations in HIV+ children in Mozambique,10.1590/S1413-81232012000100008,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84855835099&doi=10.1590%2fS1413-81232012000100008&partnerID=40&md5=40e5b0d29e715d21be567be9d45e3390,2012
79,Orofacial injuries associated with eclampsia in patients presenting at a Nigerian Tertiary Hospital,10.3109/01443615.2011.613495,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84455191978&doi=10.3109%2f01443615.2011.613495&partnerID=40&md5=942fd038a4b40c51f410f2a4c64a4d19,2012
80,"Clinical features and types of paediatric orofacial malignant neoplasms at two hospitals in Nairobi, Kenya",10.1016/j.jcms.2011.01.020,https://www.scopus.com/inward/record.uri?eid=2-s2.0-83555163811&doi=10.1016%2fj.jcms.2011.01.020&partnerID=40&md5=9af91b723073f0db0683332fcc2c3e0d,2012
81,"Hypertension, periodontal disease, and potassium intake in nonsmoking, nondrinker African women on no medication",10.4061/2011/695719,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84867311135&doi=10.4061%2f2011%2f695719&partnerID=40&md5=3ee1c62db7a1a6fd013257b548462896,2011
82,Necrotizing periodontal diseases in a semirural district of south Africa,10.1155/2011/638584,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865378719&doi=10.1155%2f2011%2f638584&partnerID=40&md5=7020848c0ea006da944b94a7bc65e859,2011
83,"Effect of health education on oral hygiene and gingival status of persons living with HIV attending comprehensive care centres in Nairobi, Kenya",10.2989/16085906.2011.646672,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84863004578&doi=10.2989%2f16085906.2011.646672&partnerID=40&md5=111854977d6a2aaeecfec0d50a996418,2011
84,Clinicopathological characteristics of odontogenic myxoma in Nigerians,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84862285707&partnerID=40&md5=46bf0548b3505c5bba1802bb5d67d238,2011
85,Oro-dental and maxillofacial trauma in epilepsy at a tertiary hospital in Lagos,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84861317800&partnerID=40&md5=7d853a9f0269fce6476d5676b58409f5,2011
86,"Oral health knowledge and practices of secondary school students, Tanga, Tanzania",10.1155/2011/806258,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84855703258&doi=10.1155%2f2011%2f806258&partnerID=40&md5=4701a3ed4beacaf313e1ccfe0c9dfc42,2011
87,"Orthodontic treatment need and complexity among nigerian adolescents in rivers state, Nigeria",10.1155/2011/813525,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84855161434&doi=10.1155%2f2011%2f813525&partnerID=40&md5=292559277763bc926d722e689269f993,2011
88,Family environment and dental health disparities among urban children in Burkina Faso,10.1016/j.respe.2011.07.002,https://www.scopus.com/inward/record.uri?eid=2-s2.0-83055187946&doi=10.1016%2fj.respe.2011.07.002&partnerID=40&md5=d18112459b19f1eabe639077eaf514a9,2011
89,A survey of oral care practices in South African intensive care units,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865595173&partnerID=40&md5=cdb22ca82eeafdc080b31887e417369b,2011
90,Non-doctor consultations and self-medication practices in patients seen at a tertiary dental center in Ibadan,10.4103/0970-9290.94671,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84859753528&doi=10.4103%2f0970-9290.94671&partnerID=40&md5=d5a256545650697d0249f51669f8384b,2011
91,Pattern of odontogenic and nonodontogenic cysts,10.1097/SCS.0b013e3182323fbe,https://www.scopus.com/inward/record.uri?eid=2-s2.0-82955168314&doi=10.1097%2fSCS.0b013e3182323fbe&partnerID=40&md5=1832b25cdabd80bbb0443a0d75746133,2011
92,The impact of service-learning on two groups of South African dental students,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-81455131878&partnerID=40&md5=7e836b9c3c75b295e8ccb7fc4f1dee0a,2011
93,"Oral health knowledge, hygiene practices and treatment seeking behaviour among 12 year-old children from Kitale municipality in Kenya",,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019979986&partnerID=40&md5=530ed751fa3534aedd1fe6116d5157db,2011
94,"Anesthetic challenges in oro-facial cleft repair in ile-ife, Nigeria",,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84859495441&partnerID=40&md5=0230846fb2ec7159201a0416865cec29,2011
95,"Tooth loss, chewing habits, and food choices among older Nigerians in Plateau State: A preliminary study",10.1111/j.1600-0528.2011.00612.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-80052896455&doi=10.1111%2fj.1600-0528.2011.00612.x&partnerID=40&md5=b3f57942fd16dfe836cfe93aa324e236,2011
96,Pattern of tooth extraction in children attending tertiary health care centers in nigeria: A prospective study,10.17796/jcpd.36.1.3616j76286616672,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84855306173&doi=10.17796%2fjcpd.36.1.3616j76286616672&partnerID=40&md5=15b191e6cfc002af983ae6e4fb9b1429,2011
97,Oral maxillofacial tumors and tumor-like conditions: A Ugandan survey,10.1007/s00383-011-2922-4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-80054900617&doi=10.1007%2fs00383-011-2922-4&partnerID=40&md5=ceba4a47a1930e5b71258295cb843de3,2011
98,Prevalence of self-reported hypersensitive teeth among a group of Nigerian undergraduate students.,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-80054845318&partnerID=40&md5=8286d1d7a1d0781b16dfd2485ccce6d5,2011
99,An audit of mandibular defect reconstruction methods in a Nigerian Tertiary Hospital.,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-80054843313&partnerID=40&md5=5377d5a4860ec8680a13e87446c3d357,2011
100,"Factor structure of health and oral health-related behaviors among adolescents in Arusha, northern Tanzania",10.3109/00016357.2011.568960,https://www.scopus.com/inward/record.uri?eid=2-s2.0-80052098498&doi=10.3109%2f00016357.2011.568960&partnerID=40&md5=9b62367d557dd54406e33844baeb9335,2011
101,Odontogenic tumours manifesting in the first two decades of life in a rural African population sample: A 26 year retrospective analysis,10.1259/dmfr/54585925,https://www.scopus.com/inward/record.uri?eid=2-s2.0-80051714416&doi=10.1259%2fdmfr%2f54585925&partnerID=40&md5=862a9f8efeec0a3c3f1007ceb9502e6f,2011
102,Self medication for oral health problems in Cameroon,10.1111/j.1875-595X.2011.00058.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-80051863999&doi=10.1111%2fj.1875-595X.2011.00058.x&partnerID=40&md5=57f3552a93d14da8c8238e45975ce4f2,2011
103,Self-reported poor oral hygiene among in-school adolescents in Zambia,10.1186/1756-0500-4-255,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79960559207&doi=10.1186%2f1756-0500-4-255&partnerID=40&md5=7abbf67d1ef852fe65f807f7ee08fe75,2011
104,"Mothers' beliefs about infant teething in Enugu, South-east Nigeria: A cross sectional study",10.1186/1756-0500-4-228,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79959720703&doi=10.1186%2f1756-0500-4-228&partnerID=40&md5=177aa8efcf99fa0f7faf57dfc23be96e,2011
