"Study_ID","ID","Author","Affiliation ID","Affiliation","City","Country","TI","DO","UR","PY","lat","long"
5,16,"Arigbede A.",60029544,"University of Port Harcourt","Port Harcourt","Nigeria","Barriers to oral health care utilization in Ibadan, South West Nigeria","10.4314/ahs.v12i4.17","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84873249060&doi=10.4314%2fahs.v12i4.17&partnerID=40&md5=65e888bd4596796b089899f6a00f5f9c",2012,4.9107657,6.91019230315209
6,17,"Ize-Iyamu I.N.",60017980,"University of Benin","Benin","Nigeria","Prevalence and factors associated with anterior open bite in 2 to 5 year old children in Benin city, Nigeria","10.4314/ahs.v12i4.8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84873247367&doi=10.4314%2fahs.v12i4.8&partnerID=40&md5=29a3918fcc63600922c5553cdaa205ee",2012,6.33441425,5.59982711348408
6,18,"Isiekwe M.C.",60006448,"University of Lagos","Lagos","Nigeria","Prevalence and factors associated with anterior open bite in 2 to 5 year old children in Benin city, Nigeria","10.4314/ahs.v12i4.8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84873247367&doi=10.4314%2fahs.v12i4.8&partnerID=40&md5=29a3918fcc63600922c5553cdaa205ee",2012,6.5119319,3.39367856275101
7,19,"Anthony O.E.",60017980,"University of Benin","Benin","Nigeria","The assessment of CD4 lymphocyte counts in patients with chronic periodontitis in Benin City, Nigeria","10.1016/S2222-1808(12)60236-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871780795&doi=10.1016%2fS2222-1808%2812%2960236-9&partnerID=40&md5=493058c689f22d4565951360607f8c6c",2012,6.33441425,5.59982711348408
7,20,"Rachel O.",60017980,"University of Benin","Benin","Nigeria","The assessment of CD4 lymphocyte counts in patients with chronic periodontitis in Benin City, Nigeria","10.1016/S2222-1808(12)60236-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871780795&doi=10.1016%2fS2222-1808%2812%2960236-9&partnerID=40&md5=493058c689f22d4565951360607f8c6c",2012,6.33441425,5.59982711348408
8,23,"Bourgeois D.",60023578,"Université Claude Bernard Lyon 1","Villeurbanne","France","Illness-related behaviour and sociodemographic determinants of oral health care use in Dabou, Côte d'Ivoire","10.1922/CDH_2710Sangaré07","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84860789607&doi=10.1922%2fCDH_2710Sangar%c3%a907&partnerID=40&md5=1da85d0ecff12887d2510b4dc6970e1a",2012,45.78166445,4.86815451441219
9,24,"Achembong L.N.",60015481,"University of Washington","Seattle","United States","Cameroon mid-level providers offer a promising public health dentistry model","10.1186/1478-4491-10-46","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84869885548&doi=10.1186%2f1478-4491-10-46&partnerID=40&md5=75abb878a4774632a81c01df70a93af3",2012,47.6543466,-122.30806059473
9,26,"Hagopian A.",60015481,"University of Washington","Seattle","United States","Cameroon mid-level providers offer a promising public health dentistry model","10.1186/1478-4491-10-46","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84869885548&doi=10.1186%2f1478-4491-10-46&partnerID=40&md5=75abb878a4774632a81c01df70a93af3",2012,47.6543466,-122.30806059473
9,27,"Downer A.",60015481,"University of Washington","Seattle","United States","Cameroon mid-level providers offer a promising public health dentistry model","10.1186/1478-4491-10-46","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84869885548&doi=10.1186%2f1478-4491-10-46&partnerID=40&md5=75abb878a4774632a81c01df70a93af3",2012,47.6543466,-122.30806059473
9,28,"Barnhart S.",60015481,"University of Washington","Seattle","United States","Cameroon mid-level providers offer a promising public health dentistry model","10.1186/1478-4491-10-46","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84869885548&doi=10.1186%2f1478-4491-10-46&partnerID=40&md5=75abb878a4774632a81c01df70a93af3",2012,47.6543466,-122.30806059473
11,35,"Odhiambo W.A.",60048717,"University of Nairobi","Nairobi","Kenya","Aetiology, pattern and management of oral and maxillofacial injuries at mulago national referral hospital","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84955564671&partnerID=40&md5=0a13f3ef30a24d4e0f4fa6916ef7aa69",2012,-1.27815965,36.8129899739363
11,36,"Akama M.K.",60048717,"University of Nairobi","Nairobi","Kenya","Aetiology, pattern and management of oral and maxillofacial injuries at mulago national referral hospital","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84955564671&partnerID=40&md5=0a13f3ef30a24d4e0f4fa6916ef7aa69",2012,-1.27815965,36.8129899739363
11,37,"Guthua S.W.",60048717,"University of Nairobi","Nairobi","Kenya","Aetiology, pattern and management of oral and maxillofacial injuries at mulago national referral hospital","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84955564671&partnerID=40&md5=0a13f3ef30a24d4e0f4fa6916ef7aa69",2012,-1.27815965,36.8129899739363
11,38,"Dimba E.A.O.",60048717,"University of Nairobi","Nairobi","Kenya","Aetiology, pattern and management of oral and maxillofacial injuries at mulago national referral hospital","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84955564671&partnerID=40&md5=0a13f3ef30a24d4e0f4fa6916ef7aa69",2012,-1.27815965,36.8129899739363
12,39,"Olze A.",60026245,"Charité – Universitätsmedizin Berlin","Berlin","Germany","The influence of impaction on the rate of third molar mineralisation in male black Africans","10.1007/s00414-012-0753-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84868099810&doi=10.1007%2fs00414-012-0753-z&partnerID=40&md5=9b0224c40ff276cc664a57b6f33bfd0c",2012,52.5299885,13.3486639403612
12,40,"Van Niekerk P.",60021902,"University of Pretoria","Pretoria","South Africa","The influence of impaction on the rate of third molar mineralisation in male black Africans","10.1007/s00414-012-0753-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84868099810&doi=10.1007%2fs00414-012-0753-z&partnerID=40&md5=9b0224c40ff276cc664a57b6f33bfd0c",2012,-25.6513746,28.1793867015209
12,41,"Schulz R.",60000401,"Westfälische Wilhelms-Universität Münster","Munster","Germany","The influence of impaction on the rate of third molar mineralisation in male black Africans","10.1007/s00414-012-0753-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84868099810&doi=10.1007%2fs00414-012-0753-z&partnerID=40&md5=9b0224c40ff276cc664a57b6f33bfd0c",2012,51.96734215,7.59924332627216
12,43,"Schmeling A.",60026245,"Charité – Universitätsmedizin Berlin","Berlin","Germany","The influence of impaction on the rate of third molar mineralisation in male black Africans","10.1007/s00414-012-0753-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84868099810&doi=10.1007%2fs00414-012-0753-z&partnerID=40&md5=9b0224c40ff276cc664a57b6f33bfd0c",2012,52.5299885,13.3486639403612
13,44,"Azodo C.",60017980,"University of Benin","Benin","Nigeria","Oral health of psychiatric patients: The nurse's perspective","10.1111/j.1601-5037.2011.00537.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865854378&doi=10.1111%2fj.1601-5037.2011.00537.x&partnerID=40&md5=c8184a74c15ab628df48730eb059c7fd",2012,6.33441425,5.59982711348408
13,45,"Ezeja E.",60017980,"University of Benin","Benin","Nigeria","Oral health of psychiatric patients: The nurse's perspective","10.1111/j.1601-5037.2011.00537.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865854378&doi=10.1111%2fj.1601-5037.2011.00537.x&partnerID=40&md5=c8184a74c15ab628df48730eb059c7fd",2012,6.33441425,5.59982711348408
14,48,"Adebayo E.",101599296,"Military Hospital","Kaduna","Nigeria","Technical quality of root canal fillings done in a Nigerian general dental clinic","10.1186/1472-6831-12-42","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84867355973&doi=10.1186%2f1472-6831-12-42&partnerID=40&md5=35200bc7bc3ef89becb65ee696391386",2012,10.8375088,7.5766513
14,49,"Ahaji L.",101599296,"Military Hospital","Kaduna","Nigeria","Technical quality of root canal fillings done in a Nigerian general dental clinic","10.1186/1472-6831-12-42","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84867355973&doi=10.1186%2f1472-6831-12-42&partnerID=40&md5=35200bc7bc3ef89becb65ee696391386",2012,10.8375088,7.5766513
14,50,"Nnachetta R.",101599296,"Military Hospital","Kaduna","Nigeria","Technical quality of root canal fillings done in a Nigerian general dental clinic","10.1186/1472-6831-12-42","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84867355973&doi=10.1186%2f1472-6831-12-42&partnerID=40&md5=35200bc7bc3ef89becb65ee696391386",2012,10.8375088,7.5766513
14,51,"Nwankwo O.",101599296,"Military Hospital","Kaduna","Nigeria","Technical quality of root canal fillings done in a Nigerian general dental clinic","10.1186/1472-6831-12-42","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84867355973&doi=10.1186%2f1472-6831-12-42&partnerID=40&md5=35200bc7bc3ef89becb65ee696391386",2012,10.8375088,7.5766513
14,52,"Akabogu-Okpeseyi N.",101599296,"Military Hospital","Kaduna","Nigeria","Technical quality of root canal fillings done in a Nigerian general dental clinic","10.1186/1472-6831-12-42","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84867355973&doi=10.1186%2f1472-6831-12-42&partnerID=40&md5=35200bc7bc3ef89becb65ee696391386",2012,10.8375088,7.5766513
14,53,"Yaya M.",101599296,"Military Hospital","Kaduna","Nigeria","Technical quality of root canal fillings done in a Nigerian general dental clinic","10.1186/1472-6831-12-42","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84867355973&doi=10.1186%2f1472-6831-12-42&partnerID=40&md5=35200bc7bc3ef89becb65ee696391386",2012,10.8375088,7.5766513
15,56,"Tamí-Maury I.",60015023,"University of Texas MD Anderson Cancer Center","Houston","United States","First report of HIV-related oral manifestations in Mali","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84862296308&partnerID=40&md5=6359f978612d4703068afd18fe0f19ae",2012,29.7076703,-95.3978299350657
15,59,"Dao S.",113114815,"Centre Hospitalier Universitaire Point G","Bamako","Mali","First report of HIV-related oral manifestations in Mali","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84862296308&partnerID=40&md5=6359f978612d4703068afd18fe0f19ae",2012,12.66814605,-7.99149694602927
16,64,"Adeyemi M.",60010382,"University of Ilorin","Ilorin","Nigeria","Oral health-related quality of life following non-surgical (routine) tooth extraction: A pilot study","10.4103/0976-237X.107433","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079377335&doi=10.4103%2f0976-237X.107433&partnerID=40&md5=0bfad9d08897bdc6596ff20190ec445d",2012,8.47968525,4.53229741750287
17,67,"Adeyemo W.L.",60006448,"University of Lagos","Lagos","Nigeria","Pattern of presentation and management of lip injuries in a Nigerian hospital","10.4103/1119-3077.104520","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871642554&doi=10.4103%2f1119-3077.104520&partnerID=40&md5=dab5418444e445fb45c706a114cd6f75",2012,6.5119319,3.39367856275101
17,68,"Taiwo O.A.",60006448,"University of Lagos","Lagos","Nigeria","Pattern of presentation and management of lip injuries in a Nigerian hospital","10.4103/1119-3077.104520","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871642554&doi=10.4103%2f1119-3077.104520&partnerID=40&md5=dab5418444e445fb45c706a114cd6f75",2012,6.5119319,3.39367856275101
17,69,"Adeyemi M.O.",60006448,"University of Lagos","Lagos","Nigeria","Pattern of presentation and management of lip injuries in a Nigerian hospital","10.4103/1119-3077.104520","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871642554&doi=10.4103%2f1119-3077.104520&partnerID=40&md5=dab5418444e445fb45c706a114cd6f75",2012,6.5119319,3.39367856275101
17,70,"Adewole R.A.",60006448,"University of Lagos","Lagos","Nigeria","Pattern of presentation and management of lip injuries in a Nigerian hospital","10.4103/1119-3077.104520","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871642554&doi=10.4103%2f1119-3077.104520&partnerID=40&md5=dab5418444e445fb45c706a114cd6f75",2012,6.5119319,3.39367856275101
17,71,"Gbotolorun O.M.",60006448,"University of Lagos","Lagos","Nigeria","Pattern of presentation and management of lip injuries in a Nigerian hospital","10.4103/1119-3077.104520","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871642554&doi=10.4103%2f1119-3077.104520&partnerID=40&md5=dab5418444e445fb45c706a114cd6f75",2012,6.5119319,3.39367856275101
18,72,"Osunde O.",60104685,"Aminu Kano Teaching Hospital","Kano","Nigeria","A comparative study of the effect of suture-less and multiple suture techniques on inflammatory complications following third molar surgery","10.1016/j.ijom.2012.04.009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865798340&doi=10.1016%2fj.ijom.2012.04.009&partnerID=40&md5=7ae35624d33344b882aac17aa7b5e10a",2012,11.9630456,8.55034210353827
18,73,"Adebola R.",60104685,"Aminu Kano Teaching Hospital","Kano","Nigeria","A comparative study of the effect of suture-less and multiple suture techniques on inflammatory complications following third molar surgery","10.1016/j.ijom.2012.04.009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865798340&doi=10.1016%2fj.ijom.2012.04.009&partnerID=40&md5=7ae35624d33344b882aac17aa7b5e10a",2012,11.9630456,8.55034210353827
18,74,"Saheeb B.",60017980,"University of Benin","Benin","Nigeria","A comparative study of the effect of suture-less and multiple suture techniques on inflammatory complications following third molar surgery","10.1016/j.ijom.2012.04.009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865798340&doi=10.1016%2fj.ijom.2012.04.009&partnerID=40&md5=7ae35624d33344b882aac17aa7b5e10a",2012,6.33441425,5.59982711348408
19,75,"Gbadebo A.M.",60008386,"Federal University of Agriculture, Abeokuta","Abeokuta","Nigeria","Groundwater fluoride and dental fluorosis in southwestern Nigeria","10.1007/s10653-012-9455-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865434079&doi=10.1007%2fs10653-012-9455-1&partnerID=40&md5=9113e161b43dd072536339c60a4339e3",2012,7.22364685,3.43557624980414
20,76,"Wandera M.",60071676,"Makerere University","Kampala","Uganda","Determinants of periodontal health in pregnant women and association with infants' anthropometric status: a prospective cohort study from Eastern Uganda","10.1186/1471-2393-12-90","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865614912&doi=10.1186%2f1471-2393-12-90&partnerID=40&md5=969d86e360c8c4ba6b778622410fe83e",2012,0.335151,32.5682341763699
20,77,"Åstrøm A.",60029622,"Universitetet i Bergen","Bergen","Norway","Determinants of periodontal health in pregnant women and association with infants' anthropometric status: a prospective cohort study from Eastern Uganda","10.1186/1471-2393-12-90","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865614912&doi=10.1186%2f1471-2393-12-90&partnerID=40&md5=969d86e360c8c4ba6b778622410fe83e",2012,60.26958,5.222626
20,78,"Okullo I.",60029622,"Universitetet i Bergen","Bergen","Norway","Determinants of periodontal health in pregnant women and association with infants' anthropometric status: a prospective cohort study from Eastern Uganda","10.1186/1471-2393-12-90","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865614912&doi=10.1186%2f1471-2393-12-90&partnerID=40&md5=969d86e360c8c4ba6b778622410fe83e",2012,60.26958,5.222626
20,79,"Tumwine J.",60071676,"Makerere University","Kampala","Uganda","Determinants of periodontal health in pregnant women and association with infants' anthropometric status: a prospective cohort study from Eastern Uganda","10.1186/1471-2393-12-90","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865614912&doi=10.1186%2f1471-2393-12-90&partnerID=40&md5=969d86e360c8c4ba6b778622410fe83e",2012,0.335151,32.5682341763699
21,80,"Bernard E.K.",60048717,"University of Nairobi","Nairobi","Kenya","Maxillofacial soft tissue injuries in Nairobi, Kenya","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84965093739&partnerID=40&md5=27ad9a1f31af54de30331abe41a60071",2012,-1.27815965,36.8129899739363
21,81,"Akama M.K.",60048717,"University of Nairobi","Nairobi","Kenya","Maxillofacial soft tissue injuries in Nairobi, Kenya","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84965093739&partnerID=40&md5=27ad9a1f31af54de30331abe41a60071",2012,-1.27815965,36.8129899739363
21,82,"Odhiambo W.A.",60048717,"University of Nairobi","Nairobi","Kenya","Maxillofacial soft tissue injuries in Nairobi, Kenya","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84965093739&partnerID=40&md5=27ad9a1f31af54de30331abe41a60071",2012,-1.27815965,36.8129899739363
21,83,"Chindia M.L.",60048717,"University of Nairobi","Nairobi","Kenya","Maxillofacial soft tissue injuries in Nairobi, Kenya","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84965093739&partnerID=40&md5=27ad9a1f31af54de30331abe41a60071",2012,-1.27815965,36.8129899739363
21,84,"Mua B.",60048717,"University of Nairobi","Nairobi","Kenya","Maxillofacial soft tissue injuries in Nairobi, Kenya","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84965093739&partnerID=40&md5=27ad9a1f31af54de30331abe41a60071",2012,-1.27815965,36.8129899739363
23,85,"Isiekwe G.I.",60006448,"University of Lagos","Lagos","Nigeria","Acephalometric investigation of horizontal lip position in adult nigerians","10.1179/1465312512Z.00000000026","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870184543&doi=10.1179%2f1465312512Z.00000000026&partnerID=40&md5=e82f20435ab98daa50cfff31e2242493",2012,6.5119319,3.39367856275101
23,86,"DaCosta O.O.",60199625,"Lagos University Teaching Hospital","Lagos","Nigeria","Acephalometric investigation of horizontal lip position in adult nigerians","10.1179/1465312512Z.00000000026","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870184543&doi=10.1179%2f1465312512Z.00000000026&partnerID=40&md5=e82f20435ab98daa50cfff31e2242493",2012,6.51885255,3.35571593850208
23,87,"Isiekwe M.C.",60199625,"Lagos University Teaching Hospital","Lagos","Nigeria","Acephalometric investigation of horizontal lip position in adult nigerians","10.1179/1465312512Z.00000000026","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870184543&doi=10.1179%2f1465312512Z.00000000026&partnerID=40&md5=e82f20435ab98daa50cfff31e2242493",2012,6.51885255,3.35571593850208
24,88,"Mwangosi I.",60071590,"Muhimbili National Hospital","Dar Es Salaam","Tanzania","Oral lesions associated with HIV/AIDS in HIV-seropositive patients attending a counselling and treatment centre in Dar es Salaam","10.1111/j.1875-595X.2011.00108.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864627810&doi=10.1111%2fj.1875-595X.2011.00108.x&partnerID=40&md5=9645f4e389be96f787db474eb069f5dd",2012,-6.8082589,39.2723325133387
25,90,"Adeyemi M.F.",60010382,"University of Ilorin","Ilorin","Nigeria","Is healing outcome of 2 weeks intermaxillary fixation different from that of 4 to 6 weeks intermaxillary fixation in the treatment of mandibular fractures?","10.1016/j.joms.2012.04.006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84863966806&doi=10.1016%2fj.joms.2012.04.006&partnerID=40&md5=749c1eeca847dd2c18b991cdecae82a3",2012,8.47968525,4.53229741750287
25,91,"Adeyemo W.L.",60006448,"University of Lagos","Lagos","Nigeria","Is healing outcome of 2 weeks intermaxillary fixation different from that of 4 to 6 weeks intermaxillary fixation in the treatment of mandibular fractures?","10.1016/j.joms.2012.04.006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84863966806&doi=10.1016%2fj.joms.2012.04.006&partnerID=40&md5=749c1eeca847dd2c18b991cdecae82a3",2012,6.5119319,3.39367856275101
25,92,"Ogunlewe M.O.",60006448,"University of Lagos","Lagos","Nigeria","Is healing outcome of 2 weeks intermaxillary fixation different from that of 4 to 6 weeks intermaxillary fixation in the treatment of mandibular fractures?","10.1016/j.joms.2012.04.006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84863966806&doi=10.1016%2fj.joms.2012.04.006&partnerID=40&md5=749c1eeca847dd2c18b991cdecae82a3",2012,6.5119319,3.39367856275101
25,93,"Ladeinde A.L.",60006448,"University of Lagos","Lagos","Nigeria","Is healing outcome of 2 weeks intermaxillary fixation different from that of 4 to 6 weeks intermaxillary fixation in the treatment of mandibular fractures?","10.1016/j.joms.2012.04.006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84863966806&doi=10.1016%2fj.joms.2012.04.006&partnerID=40&md5=749c1eeca847dd2c18b991cdecae82a3",2012,6.5119319,3.39367856275101
26,94,"Masumo R.",60029622,"Universitetet i Bergen","Bergen","Norway","Prevalence and socio-behavioral influence of early childhood caries, ECC, and feeding habits among 6 - 36 months old children in Uganda and Tanzania","10.1186/1472-6831-12-24","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864147268&doi=10.1186%2f1472-6831-12-24&partnerID=40&md5=83a20ffa302a944165adc49789241c31",2012,60.26958,5.222626
26,95,"Bardsen A.",60029622,"Universitetet i Bergen","Bergen","Norway","Prevalence and socio-behavioral influence of early childhood caries, ECC, and feeding habits among 6 - 36 months old children in Uganda and Tanzania","10.1186/1472-6831-12-24","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864147268&doi=10.1186%2f1472-6831-12-24&partnerID=40&md5=83a20ffa302a944165adc49789241c31",2012,60.26958,5.222626
26,97,"Astrom A.",60029622,"Universitetet i Bergen","Bergen","Norway","Prevalence and socio-behavioral influence of early childhood caries, ECC, and feeding habits among 6 - 36 months old children in Uganda and Tanzania","10.1186/1472-6831-12-24","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864147268&doi=10.1186%2f1472-6831-12-24&partnerID=40&md5=83a20ffa302a944165adc49789241c31",2012,60.26958,5.222626
27,98,"Buwembo W.",60071676,"Makerere University","Kampala","Uganda","Prediction of width of un-erupted incisors, canines and premolars in a Ugandan population: A cross sectional study","10.1186/1472-6831-12-23","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865626227&doi=10.1186%2f1472-6831-12-23&partnerID=40&md5=85931eed40b2fe5f144b32268c324ed3",2012,0.335151,32.5682341763699
27,99,"Kutesa A.",60071676,"Makerere University","Kampala","Uganda","Prediction of width of un-erupted incisors, canines and premolars in a Ugandan population: A cross sectional study","10.1186/1472-6831-12-23","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865626227&doi=10.1186%2f1472-6831-12-23&partnerID=40&md5=85931eed40b2fe5f144b32268c324ed3",2012,0.335151,32.5682341763699
27,100,"Muwazi L.",60071676,"Makerere University","Kampala","Uganda","Prediction of width of un-erupted incisors, canines and premolars in a Ugandan population: A cross sectional study","10.1186/1472-6831-12-23","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865626227&doi=10.1186%2f1472-6831-12-23&partnerID=40&md5=85931eed40b2fe5f144b32268c324ed3",2012,0.335151,32.5682341763699
27,101,"Rwenyonyi C.M.",60071676,"Makerere University","Kampala","Uganda","Prediction of width of un-erupted incisors, canines and premolars in a Ugandan population: A cross sectional study","10.1186/1472-6831-12-23","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865626227&doi=10.1186%2f1472-6831-12-23&partnerID=40&md5=85931eed40b2fe5f144b32268c324ed3",2012,0.335151,32.5682341763699
28,102,"Kalema N.",60071676,"Makerere University","Kampala","Uganda","Oral antimicrobial rinse to reduce mycobacterial culture contamination among tuberculosis suspects in uganda: A prospective study","10.1371/journal.pone.0038888","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84863729071&doi=10.1371%2fjournal.pone.0038888&partnerID=40&md5=c2425f7f9aeb8f37a9d262e2859e6bb1",2012,0.335151,32.5682341763699
28,103,"de n Boon S.",60071676,"Makerere University","Kampala","Uganda","Oral antimicrobial rinse to reduce mycobacterial culture contamination among tuberculosis suspects in uganda: A prospective study","10.1371/journal.pone.0038888","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84863729071&doi=10.1371%2fjournal.pone.0038888&partnerID=40&md5=c2425f7f9aeb8f37a9d262e2859e6bb1",2012,0.335151,32.5682341763699
28,104,"Cattamanchi A.",60071676,"Makerere University","Kampala","Uganda","Oral antimicrobial rinse to reduce mycobacterial culture contamination among tuberculosis suspects in uganda: A prospective study","10.1371/journal.pone.0038888","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84863729071&doi=10.1371%2fjournal.pone.0038888&partnerID=40&md5=c2425f7f9aeb8f37a9d262e2859e6bb1",2012,0.335151,32.5682341763699
